Epoch,Loss,Val_HR_10,Val_NDCG_10
1,6.861,0.2094,0.1197
2,5.9893,0.2473,0.1451
3,5.8103,0.2628,0.1528
4,5.7135,0.2722,0.1574
5,5.6474,0.279,0.164
6,5.5977,0.2902,0.1727
7,5.5571,0.2832,0.1689
8,5.5242,0.2943,0.1733
9,5.4953,0.2929,0.1739
10,5.4701,0.2969,0.1744
11,5.4473,0.2984,0.1767
12,5.4264,0.2952,0.1757
13,5.4071,0.2993,0.179
14,5.3892,0.3053,0.1814
15,5.3717,0.3059,0.1857
16,5.3559,0.3148,0.1865
17,5.3412,0.3092,0.1837
18,5.3265,0.3084,0.1863
19,5.3133,0.3093,0.1838
20,5.3008,0.3029,0.1812
21,5.2885,0.3109,0.1886
22,5.2764,0.3054,0.1823
23,5.2657,0.3085,0.1849
24,5.2549,0.3014,0.1818
25,5.2442,0.3178,0.1904
26,5.2349,0.3011,0.1785
27,5.2254,0.305,0.1825
28,5.2166,0.3051,0.1832
29,5.2076,0.3018,0.1802
30,5.1993,0.3126,0.1894
31,5.191,0.3118,0.1891
32,5.1828,0.3043,0.1828
33,5.1755,0.3024,0.1844
34,5.1687,0.3043,0.1838
35,5.1615,0.3004,0.1831
