Epoch,Loss,Val_HR_10,Val_NDCG_10
1,6.7932,0.2194,0.1279
2,5.8698,0.2634,0.1525
3,5.6942,0.2731,0.1611
4,5.6012,0.2794,0.1645
5,5.5379,0.2922,0.1707
6,5.4907,0.2981,0.1765
7,5.4526,0.2994,0.1763
8,5.4218,0.3131,0.1846
9,5.3959,0.3089,0.1836
10,5.372,0.3139,0.1852
11,5.3513,0.3063,0.1836
12,5.3329,0.3152,0.1907
13,5.3156,0.3101,0.1875
14,5.2999,0.3158,0.1865
15,5.2854,0.3198,0.1927
16,5.2722,0.3253,0.1932
17,5.26,0.3252,0.1947
18,5.2474,0.3305,0.1968
19,5.2361,0.3191,0.1915
20,5.2261,0.3212,0.1938
21,5.2161,0.3342,0.2036
22,5.2066,0.3272,0.1944
23,5.1974,0.3265,0.1957
24,5.1886,0.3205,0.1912
25,5.1808,0.3319,0.1987
26,5.1728,0.3224,0.1924
27,5.1654,0.3185,0.1917
28,5.1575,0.3214,0.1953
29,5.1513,0.3264,0.1962
30,5.1445,0.3329,0.2012
31,5.1379,0.3339,0.2018
