Epoch,Loss,Val_HR_10,Val_NDCG_10
1,6.8607,0.2343,0.1374
2,5.9555,0.2689,0.1574
3,5.7766,0.2905,0.1718
4,5.6838,0.2994,0.1758
5,5.6236,0.3099,0.1824
6,5.5796,0.3145,0.1885
7,5.5445,0.3081,0.1818
8,5.5144,0.3261,0.1919
9,5.4906,0.3214,0.1928
10,5.4693,0.3252,0.1932
11,5.4507,0.3266,0.1936
12,5.4339,0.3328,0.1987
13,5.4187,0.3271,0.1965
14,5.4049,0.3324,0.1973
15,5.3929,0.3462,0.2083
16,5.3815,0.3421,0.2031
17,5.3706,0.3458,0.2077
18,5.361,0.3487,0.2094
19,5.3516,0.3443,0.2059
20,5.3431,0.3373,0.2008
21,5.3349,0.3462,0.2114
22,5.3277,0.3477,0.206
23,5.3202,0.3403,0.2063
24,5.3135,0.3407,0.2038
25,5.3067,0.3504,0.2103
26,5.3019,0.3365,0.2021
27,5.2955,0.3326,0.2006
28,5.2903,0.345,0.2086
29,5.285,0.3426,0.2057
30,5.2793,0.3432,0.208
31,5.2751,0.354,0.2154
32,5.2701,0.3426,0.2102
33,5.2662,0.3453,0.2093
34,5.2621,0.3401,0.2058
35,5.2581,0.3444,0.2097
36,5.2534,0.3493,0.2106
37,5.2498,0.3402,0.2071
38,5.2467,0.348,0.2094
39,5.2428,0.3416,0.2071
40,5.24,0.3529,0.2137
41,5.2365,0.3493,0.2095
