Epoch,Loss,Val_HR_10,Val_NDCG_10
1,5.4261,0.3338,0.1996
2,5.3534,0.3316,0.2026
3,5.3089,0.338,0.206
4,5.2741,0.3348,0.2019
5,5.2443,0.3435,0.2047
6,5.2187,0.3481,0.2127
