Epoch,Loss,Val_HR_10,Val_NDCG_10
1,6.9781,0.2071,0.1192
2,6.0211,0.2472,0.1421
3,5.8435,0.2608,0.1502
4,5.7552,0.2678,0.1569
5,5.6973,0.2802,0.1646
6,5.6553,0.2824,0.1676
7,5.6227,0.2833,0.1637
8,5.5969,0.2975,0.1752
9,5.5749,0.2975,0.1739
10,5.5565,0.2941,0.1734
11,5.5406,0.3001,0.1753
12,5.5276,0.2988,0.1785
13,5.5159,0.2957,0.1747
14,5.5049,0.304,0.1779
15,5.4963,0.3091,0.1839
16,5.4879,0.3113,0.1838
17,5.4802,0.3151,0.1842
18,5.4733,0.3157,0.1867
19,5.4668,0.3082,0.1839
20,5.4611,0.3083,0.182
21,5.456,0.3164,0.1885
22,5.4511,0.3166,0.1849
23,5.4462,0.3161,0.1859
24,5.4415,0.3037,0.1797
25,5.4373,0.3214,0.1878
26,5.4333,0.3077,0.1803
27,5.43,0.3071,0.1801
28,5.4267,0.3069,0.1828
29,5.4234,0.3134,0.1839
30,5.4201,0.3154,0.1892
31,5.4169,0.3207,0.1911
32,5.4144,0.3097,0.1857
33,5.4114,0.313,0.1844
34,5.409,0.3098,0.1852
35,5.4063,0.3076,0.1829
36,5.4039,0.312,0.1877
37,5.4017,0.3081,0.181
38,5.3992,0.3163,0.1865
39,5.3971,0.3124,0.1841
40,5.3954,0.3144,0.1873
41,5.3932,0.3137,0.185
