Epoch,Loss,Val_HR_10,Val_NDCG_10
1,6.539,0.2411,0.1436
2,5.7168,0.2844,0.1702
3,5.5372,0.3055,0.1806
4,5.4394,0.3111,0.1841
5,5.3732,0.3186,0.1899
6,5.3239,0.3283,0.1982
7,5.284,0.3196,0.1914
8,5.2506,0.3354,0.2048
9,5.2212,0.3331,0.2021
10,5.1951,0.3386,0.2047
11,5.1721,0.3334,0.2008
12,5.1501,0.3381,0.2051
13,5.1306,0.3437,0.2083
14,5.1117,0.3415,0.2075
15,5.0948,0.3527,0.2163
16,5.0787,0.3536,0.2164
17,5.0628,0.3506,0.2126
18,5.0482,0.3598,0.2188
19,5.0343,0.3548,0.216
20,5.0207,0.3446,0.2103
21,5.0077,0.3558,0.2192
22,4.9958,0.3581,0.2182
23,4.9845,0.3549,0.2151
24,4.9731,0.346,0.213
25,4.962,0.3605,0.2194
26,4.9519,0.3452,0.2109
27,4.942,0.3494,0.2116
28,4.932,0.3472,0.2138
29,4.9223,0.3471,0.2134
30,4.9131,0.3621,0.2212
31,4.9051,0.363,0.2212
32,4.8961,0.3503,0.2135
33,4.8882,0.3573,0.2192
34,4.8799,0.3568,0.2177
35,4.8719,0.3542,0.2169
36,4.865,0.3572,0.2186
37,4.8571,0.3542,0.216
38,4.8501,0.356,0.2182
39,4.8434,0.3515,0.2152
40,4.8362,0.3575,0.218
41,4.8298,0.3593,0.2197
