Epoch,Loss,Val_HR_10,Val_NDCG_10
1,7.2927,0.1576,0.0883
2,6.2801,0.2157,0.1214
3,6.0618,0.2276,0.1292
4,5.9691,0.241,0.1372
5,5.9152,0.2467,0.1427
6,5.8777,0.2514,0.144
7,5.85,0.2446,0.1409
8,5.8278,0.2635,0.1517
9,5.8101,0.2605,0.1511
10,5.7958,0.2607,0.1501
11,5.7832,0.2626,0.1514
12,5.7735,0.2684,0.1535
13,5.7635,0.2633,0.1534
14,5.7561,0.2695,0.1545
15,5.7488,0.2735,0.1566
16,5.7426,0.2765,0.1612
17,5.7369,0.2779,0.1586
18,5.7315,0.2749,0.1599
19,5.7268,0.2757,0.1577
20,5.7223,0.2695,0.1553
21,5.7186,0.2801,0.1622
22,5.7148,0.2739,0.1589
23,5.7113,0.2767,0.1618
24,5.7082,0.2737,0.1567
25,5.7054,0.2813,0.161
26,5.7023,0.2674,0.1521
27,5.6997,0.2709,0.1564
28,5.6971,0.2735,0.1578
29,5.6952,0.2742,0.1571
30,5.6928,0.281,0.1627
31,5.6905,0.2772,0.161
32,5.6892,0.2688,0.1573
33,5.6872,0.2747,0.1594
34,5.6854,0.2771,0.1619
35,5.6839,0.2786,0.1611
36,5.6815,0.274,0.1576
37,5.6806,0.2721,0.1575
38,5.6789,0.2725,0.1578
39,5.677,0.2725,0.156
40,5.676,0.2795,0.1617
