Epoch,Loss,Val_HR_10,Val_NDCG_10
1,6.6909,0.2269,0.1334
2,5.9068,0.2582,0.1508
3,5.7601,0.2694,0.1574
4,5.6822,0.2834,0.1649
5,5.6305,0.2913,0.1707
6,5.5932,0.2963,0.1754
7,5.563,0.2958,0.1723
8,5.5382,0.3065,0.1826
9,5.5166,0.3026,0.1798
10,5.4975,0.3051,0.1831
11,5.4809,0.3028,0.1799
12,5.4658,0.3081,0.1838
13,5.4515,0.3072,0.1833
14,5.4389,0.3121,0.1845
15,5.4269,0.3164,0.19
16,5.4164,0.3177,0.1894
17,5.4057,0.3184,0.1895
18,5.3959,0.3192,0.1917
19,5.3874,0.3177,0.1881
20,5.3782,0.3114,0.1848
21,5.3706,0.3262,0.1978
22,5.3626,0.3166,0.1904
23,5.3553,0.3165,0.1919
24,5.3483,0.3136,0.1873
25,5.3419,0.3257,0.1958
26,5.3354,0.3105,0.1844
27,5.33,0.3072,0.1845
28,5.3241,0.3169,0.1904
29,5.3186,0.3138,0.1891
30,5.313,0.319,0.1914
31,5.3081,0.3237,0.1957
