Epoch,Loss,Val_HR_10,Val_NDCG_10
1,6.7227,0.2354,0.1392
2,5.7721,0.2808,0.1652
3,5.5822,0.2985,0.1786
4,5.4836,0.3045,0.1807
5,5.4177,0.3162,0.1882
6,5.3686,0.3242,0.195
7,5.33,0.3228,0.191
8,5.2985,0.3372,0.2012
9,5.2715,0.3309,0.1993
10,5.2479,0.3398,0.2036
11,5.2273,0.3294,0.1972
12,5.2083,0.3375,0.2049
13,5.1919,0.3368,0.2072
14,5.1763,0.3391,0.2062
15,5.1617,0.3499,0.2128
16,5.1483,0.3527,0.2124
17,5.1364,0.3554,0.2149
18,5.1249,0.357,0.216
19,5.1138,0.3471,0.2113
20,5.1041,0.3461,0.2088
21,5.0941,0.3528,0.2192
22,5.0856,0.352,0.213
23,5.0771,0.353,0.2137
24,5.0684,0.3478,0.2091
25,5.0614,0.3579,0.2181
26,5.0539,0.3428,0.2079
27,5.0475,0.3463,0.2091
28,5.0401,0.3488,0.2121
29,5.034,0.3426,0.2101
30,5.0275,0.3559,0.2155
31,5.0217,0.3587,0.2197
32,5.0159,0.3469,0.2142
33,5.0108,0.3513,0.215
34,5.0051,0.3541,0.2168
35,5.0002,0.3537,0.2145
36,4.9948,0.3578,0.218
37,4.9904,0.3459,0.2125
38,4.9857,0.3562,0.2158
39,4.9815,0.3506,0.2129
40,4.9773,0.3588,0.2168
41,4.9727,0.352,0.2147
