Epoch,Loss,Val_HR_10,Val_NDCG_10
1,6.6214,0.2434,0.145
2,5.6962,0.2899,0.1731
3,5.5023,0.3073,0.1841
4,5.399,0.3166,0.1879
5,5.3301,0.3279,0.1959
6,5.2783,0.3344,0.2033
7,5.2366,0.3311,0.1997
8,5.2031,0.3448,0.2087
9,5.1737,0.344,0.2084
10,5.1485,0.3476,0.2105
11,5.126,0.3452,0.2098
12,5.1052,0.3483,0.2134
13,5.0867,0.3567,0.2186
14,5.0695,0.3497,0.2132
15,5.0538,0.3611,0.2197
16,5.0393,0.362,0.2181
17,5.0256,0.3651,0.2208
18,5.0121,0.3681,0.2238
19,5.0009,0.3612,0.2197
20,4.9898,0.3579,0.2176
21,4.9789,0.3651,0.2247
22,4.9692,0.3602,0.2188
23,4.9591,0.3599,0.2212
24,4.9502,0.36,0.2191
25,4.9408,0.3669,0.2246
26,4.9329,0.3519,0.2166
27,4.9255,0.3584,0.2186
28,4.917,0.3536,0.2176
29,4.9108,0.3554,0.2174
30,4.9036,0.3692,0.2247
31,4.8968,0.3662,0.2269
32,4.8901,0.3594,0.2187
33,4.8845,0.3624,0.2227
34,4.8779,0.3622,0.2228
35,4.8726,0.3627,0.2212
36,4.8671,0.3645,0.2248
37,4.862,0.3626,0.2206
38,4.8565,0.3641,0.2231
39,4.8521,0.3619,0.222
40,4.8469,0.3701,0.2256
41,4.8424,0.3675,0.225
